TEAM,SEED
2008VANDERBILT,4
2008SIENA,13
2008USC,6
2008KANSASST,11
2008WISCONSIN,3
2008CALSTFULLERTON,14
2008GONZAGA,7
2008DAVIDSON,10
2008GEORGETOWN,2
2008UMBC,15
2008MEMPHIS,1
2008UTARLINGTON,16
2008MISSISSIPPIST,8
2008OREGON,9
2008MICHIGANST,5
2008TEMPLE,12
2008PITTSBURGH,4
2008ORALROBERTS,13
2008MARQUETTE,6
2008KENTUCKY,11
2008STANFORD,3
2008CORNELL,14
2008MIAMIFL,7
2008SAINTMARYS,10
2008TEXAS,2
2008AUSTINPEAY,15
2008UCLA,1
2008MISSISSIPPIVALLEYST,16
2008BYU,8
2008TEXASAM,9
2008DRAKE,5
2008WESTERNKENTUCKY,12
2008CONNECTICUT,4
2008SANDIEGO,13
2008PURDUE,6
2008BAYLOR,11
2008XAVIER,3
2008GEORGIA,14
2008WESTVIRGINIA,7
2008ARIZONA,10
2008DUKE,2
2008BELMONT,15
