Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2014COLGATE,31,40.6,69.6,25.3,52.3,.484,8.4,21.2,.396,10.6,14.8,.715,6.6,23.0,29.6,14.2,4.6,2.3,11.5,17.1,31,40.6,67.2,24.1,54.0,.447,6.1,18.3,.335,12.9,18.8,.687,8.7,21.8,30.5,11.5,5.7,2.2,10.5,15.2
2014FAIRLEIGHDICKINSON,31,40.3,69.6,23.9,57.0,.420,7.3,20.5,.355,14.4,20.0,.720,9.9,20.5,30.5,10.9,6.7,3.9,11.6,21.2,31,40.3,76.1,24.8,55.3,.449,7.0,18.8,.370,19.5,26.6,.731,12.8,24.3,37.1,13.4,5.8,4.1,12.6,17.6
2014UMKC,30,40.0,69.5,24.3,56.6,.430,5.6,18.4,.303,15.3,24.2,.634,8.7,22.5,31.3,11.6,7.2,2.3,13.2,20.7,30,40.0,76.5,26.1,56.4,.463,6.9,19.8,.348,17.4,24.3,.716,10.2,26.0,36.2,14.3,6.3,4.3,13.9,19.9
2014SOUTHEASTERNLOUISIANA,30,40.3,69.5,23.8,53.7,.443,6.8,18.7,.364,15.1,21.7,.697,7.9,22.8,30.7,11.7,4.6,4.1,12.1,19.7,30,40.3,72.4,25.2,55.9,.451,5.8,16.9,.341,16.2,24.0,.675,10.9,24.4,35.3,13.4,5.4,3.5,11.0,18.5
2014OHIOST,35,40.3,69.5,24.1,53.6,.450,5.7,17.6,.324,15.6,22.7,.689,9.5,23.5,32.9,12.0,7.7,4.5,11.3,16.5,35,40.3,59.8,21.7,53.5,.406,4.9,16.9,.293,11.3,15.9,.711,9.3,23.1,32.3,9.5,4.1,3.0,13.9,19.3
2014GEORGEMASON,31,40.5,69.5,24.4,55.5,.440,4.9,14.0,.352,15.8,22.3,.709,10.6,23.3,33.9,10.9,5.3,3.5,13.6,20.9,31,40.5,72.0,24.1,54.1,.445,6.1,18.1,.335,17.8,25.6,.696,9.5,22.9,32.5,12.3,7.0,3.4,12.0,19.1
2014PRAIRIEVIEWAM,34,41.3,69.5,23.9,57.3,.417,6.6,19.1,.343,15.1,23.3,.649,11.5,21.9,33.4,10.6,7.1,2.6,14.4,21.9,34,41.3,77.1,26.0,56.0,.464,6.1,17.6,.347,19.1,28.1,.680,12.1,25.1,37.1,13.9,6.8,4.1,14.0,19.5
2014SOUTHDAKOTA,30,40.1,69.5,23.8,53.8,.442,6.4,18.0,.354,15.6,20.7,.751,8.1,23.6,31.7,12.7,5.4,3.8,12.4,17.4,30,40.2,71.7,24.7,56.3,.439,7.3,19.1,.383,15.0,20.8,.721,9.5,22.7,32.2,13.0,6.2,3.3,11.1,17.8
2014DEPAUL,33,40.6,69.4,23.7,56.0,.423,5.9,17.6,.336,16.1,23.5,.684,11.4,20.8,32.2,10.9,6.7,4.2,13.5,21.6,33,40.6,75.4,25.7,53.6,.480,6.4,17.0,.374,17.6,25.0,.704,9.5,23.5,33.0,13.3,6.6,4.7,13.0,20.1
2014EVANSVILLE,33,40.3,69.4,23.5,50.7,.464,4.4,12.1,.362,18.1,25.2,.718,8.3,23.2,31.5,14.7,5.0,3.8,12.8,18.9,33,40.3,72.2,25.2,56.4,.446,7.2,20.2,.356,14.6,20.7,.706,10.5,22.6,33.1,13.3,6.4,4.5,12.6,20.2
2014SIENA,38,40.5,69.3,23.9,57.0,.419,4.4,13.6,.328,17.1,23.8,.720,13.2,23.1,36.3,13.5,5.8,4.7,13.8,22.4,38,40.5,70.1,22.6,54.7,.414,5.7,17.4,.330,19.1,28.2,.677,11.6,21.3,32.9,10.7,6.8,5.3,13.1,21.1
2014UTAHST,32,40.3,69.2,24.4,54.1,.452,6.9,16.9,.406,13.5,18.3,.734,10.5,25.4,35.9,15.9,3.4,3.6,11.0,17.7,32,40.3,66.6,23.6,55.9,.423,5.9,18.8,.313,13.5,18.8,.719,8.7,21.0,29.8,12.5,5.4,4.1,7.8,17.0
2014CALSTBAKERSFIELD,32,40.3,69.2,24.0,54.7,.438,6.9,17.7,.390,14.4,20.9,.688,11.3,22.3,33.6,12.0,6.5,3.5,13.8,22.1,32,40.3,68.4,22.2,51.3,.432,5.6,18.0,.313,18.4,26.5,.696,9.8,21.6,31.5,11.9,6.7,3.5,12.7,19.4
2014TEXASAMCC,34,40.1,69.1,24.6,51.9,.474,4.4,11.9,.365,15.5,23.4,.663,10.5,21.8,32.3,12.5,6.6,2.9,12.3,20.0,34,40.2,68.0,22.9,51.7,.443,5.9,18.0,.329,16.3,23.6,.688,10.2,19.9,30.1,12.6,5.6,4.1,11.9,19.9
2014KANSASST,33,40.5,69.1,24.2,55.8,.434,6.0,18.1,.331,14.7,22.5,.656,11.7,22.8,34.5,15.2,6.2,3.0,12.3,21.6,33,40.5,65.4,21.9,53.8,.408,4.9,16.8,.293,16.7,24.4,.684,10.8,23.0,33.8,11.5,6.4,3.9,12.5,18.8
2014UTEP,34,40.3,69.0,23.4,50.4,.465,4.4,13.4,.330,17.7,25.9,.684,9.9,25.4,35.3,13.5,5.0,4.1,13.3,18.2,34,40.3,63.3,21.7,56.9,.382,5.9,20.0,.295,14.0,21.1,.661,12.3,21.2,33.5,10.9,6.2,2.5,11.8,21.5
2014SACRAMENTOST,30,40.3,69.0,24.5,53.3,.460,6.1,16.4,.373,13.9,19.2,.725,8.9,21.6,30.5,13.4,5.3,1.4,11.2,21.1,30,40.3,69.3,23.2,50.5,.460,5.7,16.5,.344,17.2,24.8,.692,9.2,21.5,30.7,13.2,5.3,2.7,11.7,18.6
2014MONMOUTH,32,40.5,69.0,24.3,57.7,.420,5.5,16.5,.336,15.0,23.4,.640,11.9,23.4,35.3,12.1,6.9,3.0,14.4,21.8,32,40.5,73.1,23.6,53.8,.439,7.8,22.2,.353,18.0,26.1,.688,10.1,24.8,35.0,12.3,6.4,5.7,15.0,20.3
