TEAM1,TEAM2,DIFF
2017OREGON,2017NORTHCAROLINA,-1.0
2017GONZAGA,2017NORTHCAROLINA,-6.0
2016KANSAS,2016AUSTINPEAY,26.0
2016COLORADO,2016CONNECTICUT,-7.0
2016MARYLAND,2016SOUTHDAKOTAST,5.0
2016CALIFORNIA,2016HAWAII,-11.0
2016ARIZONA,2016WICHITAST,-10.0
2016MIAMIFL,2016BUFFALO,7.0
2016IOWA,2016TEMPLE,2.0
2016VILLANOVA,2016UNCASHEVILLE,30.0
2016OREGON,2016HOLYCROSS,39.0
2016SAINTJOSEPHS,2016CINCINNATI,2.0
2016BAYLOR,2016YALE,-4.0
2016DUKE,2016UNCWILMINGTON,8.0
2016TEXAS,2016NORTHERNIOWA,-3.0
2016TEXASAM,2016GREENBAY,27.0
2016OREGONST,2016VCU,-8.0
2016OKLAHOMA,2016CALSTBAKERSFIELD,14.0
2016NORTHCAROLINA,2016FLORIDAGULFCOAST,16.0
2016USC,2016PROVIDENCE,-1.0
2016INDIANA,2016CHATTANOOGA,25.0
2016KENTUCKY,2016STONYBROOK,28.0
2016NOTREDAME,2016MICHIGAN,7.0
2016WESTVIRGINIA,2016STEPHENFAUSTIN,-14.0
2016WISCONSIN,2016PITTSBURGH,4.0
2016XAVIER,2016WEBERST,18.0
2016VIRGINIA,2016HAMPTON,36.0
2016TEXASTECH,2016BUTLER,-10.0
2016PURDUE,2016LITTLEROCK,-2.0
2016IOWAST,2016IONA,13.0
2016SETONHALL,2016GONZAGA,-16.0
2016UTAH,2016FRESNOST,11.0
2016DAYTON,2016SYRACUSE,-19.0
2016MICHIGANST,2016MIDDLETENNESSEE,-9.0
2016KANSAS,2016CONNECTICUT,12.0
2016MARYLAND,2016HAWAII,13.0
2016WICHITAST,2016MIAMIFL,-8.0
2016IOWA,2016VILLANOVA,-19.0
2016OREGON,2016SAINTJOSEPHS,5.0
2016YALE,2016DUKE,-7.0
2016NORTHERNIOWA,2016TEXASAM,-4.0
2016VCU,2016OKLAHOMA,-4.0
2016NORTHCAROLINA,2016PROVIDENCE,19.0
2016INDIANA,2016KENTUCKY,6.0
2016NOTREDAME,2016STEPHENFAUSTIN,1.0
2016WISCONSIN,2016XAVIER,3.0
2016VIRGINIA,2016BUTLER,8.0
2016LITTLEROCK,2016IOWAST,-17.0
2016GONZAGA,2016UTAH,23.0
2016SYRACUSE,2016MIDDLETENNESSEE,25.0
2016KANSAS,2016MARYLAND,16.0
2016MIAMIFL,2016VILLANOVA,-23.0
2016OREGON,2016DUKE,14.0
2016TEXASAM,2016OKLAHOMA,-14.0
2016NORTHCAROLINA,2016INDIANA,15.0
2016NOTREDAME,2016WISCONSIN,5.0
2016VIRGINIA,2016IOWAST,13.0
2016GONZAGA,2016SYRACUSE,-3.0
2016KANSAS,2016VILLANOVA,-5.0
2016OREGON,2016OKLAHOMA,-12.0
2016NORTHCAROLINA,2016NOTREDAME,14.0
2016VIRGINIA,2016SYRACUSE,-6.0
2016VILLANOVA,2016OKLAHOMA,44.0
2016NORTHCAROLINA,2016SYRACUSE,17.0
2016VILLANOVA,2016NORTHCAROLINA,3.0
2015KENTUCKY,2015HAMPTON,23.0
2015CINCINNATI,2015PURDUE,1.0
2015WESTVIRGINIA,2015BUFFALO,6.0
2015MARYLAND,2015VALPARAISO,3.0
2015BUTLER,2015TEXAS,8.0
2015NOTREDAME,2015NORTHEASTERN,4.0
2015WICHITAST,2015INDIANA,5.0
2015KANSAS,2015NEWMEXICOST,19.0
2015WISCONSIN,2015COASTALCAROLINA,14.0
2015OREGON,2015OKLAHOMAST,6.0
2015ARKANSAS,2015WOFFORD,3.0
2015NORTHCAROLINA,2015HARVARD,2.0
2015XAVIER,2015MISSISSIPPI,19.0
2015BAYLOR,2015GEORGIAST,-1.0
2015VCU,2015OHIOST,-3.0
2015ARIZONA,2015TEXASSOUTHERN,21.0
2015VILLANOVA,2015LAFAYETTE,41.0
2015NORTHCAROLINAST,2015LSU,1.0
2015NORTHERNIOWA,2015WYOMING,17.0
2015LOUISVILLE,2015UCIRVINE,2.0
2015PROVIDENCE,2015DAYTON,-13.0
2015OKLAHOMA,2015ALBANY,9.0
2015MICHIGANST,2015GEORGIA,7.0
2015VIRGINIA,2015BELMONT,12.0
2015DUKE,2015ROBERTMORRIS,29.0
2015SANDIEGOST,2015STJOHNS,12.0
2015UTAH,2015STEPHENFAUSTIN,7.0
2015GEORGETOWN,2015EASTERNWASHINGTON,10.0
2015SMU,2015UCLA,-1.0
2015IOWAST,2015UAB,-1.0
2015IOWA,2015DAVIDSON,31.0
2015GONZAGA,2015NORTHDAKOTAST,10.0
2015KENTUCKY,2015CINCINNATI,13.0
2015WESTVIRGINIA,2015MARYLAND,10.0
2015BUTLER,2015NOTREDAME,-3.0
2015WICHITAST,2015KANSAS,13.0
2015WISCONSIN,2015OREGON,7.0
2015ARKANSAS,2015NORTHCAROLINA,-9.0
2015XAVIER,2015GEORGIAST,8.0
2015OHIOST,2015ARIZONA,-15.0
2015VILLANOVA,2015NORTHCAROLINAST,-3.0
2015NORTHERNIOWA,2015LOUISVILLE,-13.0
2015DAYTON,2015OKLAHOMA,-6.0
2015MICHIGANST,2015VIRGINIA,6.0
2015DUKE,2015SANDIEGOST,19.0
2015UTAH,2015GEORGETOWN,11.0
2015UCLA,2015UAB,17.0
2015IOWA,2015GONZAGA,-19.0
2015KENTUCKY,2015WESTVIRGINIA,39.0
2015NOTREDAME,2015WICHITAST,11.0
2015WISCONSIN,2015NORTHCAROLINA,7.0
2015XAVIER,2015ARIZONA,-8.0
2015NORTHCAROLINAST,2015LOUISVILLE,-10.0
2015OKLAHOMA,2015MICHIGANST,-4.0
2015DUKE,2015UTAH,6.0
2015UCLA,2015GONZAGA,-12.0
2015KENTUCKY,2015NOTREDAME,2.0
2015WISCONSIN,2015ARIZONA,7.0
2015LOUISVILLE,2015MICHIGANST,-6.0
2015DUKE,2015GONZAGA,14.0
2015KENTUCKY,2015WISCONSIN,-7.0
2015MICHIGANST,2015DUKE,-20.0
2015WISCONSIN,2015DUKE,-5.0
2014FLORIDA,2014ALBANY,12.0
2014COLORADO,2014PITTSBURGH,-29.0
2014VCU,2014STEPHENFAUSTIN,-2.0
2014UCLA,2014TULSA,17.0
2014OHIOST,2014DAYTON,-1.0
2014SYRACUSE,2014WESTERNMICHIGAN,24.0
2014NEWMEXICO,2014STANFORD,-5.0
2014KANSAS,2014EASTERNKENTUCKY,11.0
2014VIRGINIA,2014COASTALCAROLINA,11.0
2014MEMPHIS,2014GEORGEWASHINGTON,5.0
2014CINCINNATI,2014HARVARD,-4.0
2014MICHIGANST,2014DELAWARE,15.0
2014NORTHCAROLINA,2014PROVIDENCE,2.0
2014IOWAST,2014NORTHCAROLINACENTRAL,18.0
2014CONNECTICUT,2014SAINTJOSEPHS,8.0
2014VILLANOVA,2014MILWAUKEE,20.0
2014ARIZONA,2014WEBERST,9.0
2014GONZAGA,2014OKLAHOMAST,8.0
2014OKLAHOMA,2014NORTHDAKOTAST,-5.0
